Amount of sentences,Average length of sentence
4,42.5
25,11.12
22,24.59090909090909
13,18.384615384615383
11,20.636363636363637
8,17.75
6,28.5
16,21.1875
5,25.8
7,27.571428571428573
2,57.0
14,19.5
5,37.4
5,36.0
6,52.5
11,36.18181818181818
5,33.2
6,34.0
47,19.851063829787233
16,12.6875
5,26.6
6,30.833333333333332
7,28.142857142857142
9,28.555555555555557
47,20.617021276595743
12,33.25
4,35.25
14,31.214285714285715
5,30.0
15,15.733333333333333
8,17.0
16,15.25
3,59.666666666666664
9,23.88888888888889
4,39.5
11,14.727272727272727
16,11.25
11,13.272727272727273
19,22.263157894736842
7,32.0
5,37.6
5,37.2
9,18.11111111111111
10,46.8
7,26.142857142857142
4,43.25
7,51.42857142857143
20,42.6
4,25.5
15,16.533333333333335
6,28.833333333333332
6,28.5
13,28.76923076923077
17,24.705882352941178
4,41.25
5,35.2
35,20.057142857142857
2,27.5
6,28.5
6,24.5
8,26.125
5,34.0
4,34.0
6,27.333333333333332
32,17.65625
3,63.666666666666664
5,36.4
8,20.0
4,41.75
29,33.172413793103445
4,40.75
3,49.0
6,30.666666666666668
10,25.6
7,27.142857142857142
40,17.2
19,23.789473684210527
7,26.571428571428573
3,57.333333333333336
5,34.6
6,29.0
6,31.833333333333332
7,19.857142857142858
7,20.571428571428573
11,34.18181818181818
4,46.75
7,26.571428571428573
2,29.5
6,29.166666666666668
4,38.25
3,44.666666666666664
7,31.571428571428573
32,11.9375
12,30.0
21,30.571428571428573
6,27.833333333333332
6,55.166666666666664
12,15.416666666666666
9,34.44444444444444
5,33.4
9,30.88888888888889
5,33.2
16,23.4375
6,26.166666666666668
13,38.76923076923077
16,17.375
7,30.857142857142858
7,11.428571428571429
5,36.0
9,45.77777777777778
8,22.25
17,38.588235294117645
8,22.625
8,28.375
28,17.857142857142858
7,25.714285714285715
2,64.0
11,34.90909090909091
9,29.333333333333332
4,43.25
5,32.2
7,27.428571428571427
38,21.05263157894737
4,31.5
5,35.2
4,44.5
23,33.30434782608695
15,19.2
6,28.166666666666668
4,69.25
4,24.0
5,34.2
11,45.63636363636363
26,18.076923076923077
8,35.0
3,26.333333333333332
4,22.0
10,37.1
12,21.833333333333332
4,35.25
9,20.77777777777778
7,26.428571428571427
4,45.0
14,17.071428571428573
5,35.4
20,27.5
7,20.0
12,12.583333333333334
5,19.6
8,20.125
6,33.0
6,18.666666666666668
14,39.42857142857143
6,37.833333333333336
7,21.428571428571427
4,52.0
9,37.44444444444444
3,56.0
14,29.5
6,26.833333333333332
6,29.833333333333332
6,29.5
5,24.0
5,34.6
4,41.75
3,62.0
3,60.0
4,42.5
3,61.0
37,15.18918918918919
8,25.5
4,41.75
39,22.641025641025642
8,23.0
20,19.7
7,25.0
2,39.5
7,26.0
19,15.736842105263158
4,47.5
5,35.2
6,30.833333333333332
8,13.125
41,28.390243902439025
8,27.625
14,26.142857142857142
9,15.444444444444445
14,42.857142857142854
10,18.8
6,19.333333333333332
3,42.0
4,43.0
5,44.0
6,27.666666666666668
3,59.333333333333336
4,45.75
10,17.9
13,32.69230769230769
5,33.2
3,38.666666666666664
16,24.75
3,53.666666666666664
18,16.38888888888889
4,44.25
10,38.8
3,57.666666666666664
5,35.0
5,33.2
5,34.6
11,12.272727272727273
10,63.2
14,19.571428571428573
19,23.0
21,15.904761904761905
6,30.666666666666668
7,25.285714285714285
6,30.0
5,33.6
3,28.666666666666668
4,21.0
4,45.5
4,45.5
4,57.0
6,30.666666666666668
6,29.666666666666668
8,23.25
10,17.6
10,25.9
10,28.2
4,45.75
8,26.25
8,37.0
4,39.75
10,22.0
2,23.5
6,30.833333333333332
4,42.75
6,50.166666666666664
5,35.0
5,35.4
19,27.842105263157894
12,17.416666666666668
4,41.75
7,25.0
32,33.09375
8,24.625
5,35.0
4,43.25
5,36.4
9,20.88888888888889
5,38.6
11,18.727272727272727
9,60.666666666666664
9,30.0
14,38.57142857142857
3,36.0
3,44.666666666666664
9,29.0
9,26.444444444444443
6,17.333333333333332
5,32.8
14,28.071428571428573
6,24.0
3,57.0
19,18.36842105263158
16,46.4375
3,55.666666666666664
3,61.333333333333336
2,38.0
34,17.529411764705884
4,45.25
27,14.185185185185185
4,43.25
7,37.142857142857146
4,41.0
4,39.0
19,30.894736842105264
6,20.5
14,48.357142857142854
4,50.5
10,21.5
4,44.75
17,29.823529411764707
6,48.666666666666664
4,43.0
10,20.2
5,34.4
21,28.333333333333332
4,48.25
4,45.5
7,24.285714285714285
5,32.2
9,20.88888888888889
25,15.88
6,22.5
3,37.666666666666664
3,26.0
10,28.7
18,12.222222222222221
6,21.333333333333332
4,43.25
5,34.4
11,37.72727272727273
4,46.25
15,19.733333333333334
25,20.92
10,24.3
7,25.285714285714285
11,19.727272727272727
5,38.4
5,40.4
6,29.0
10,18.1
3,32.0
4,44.0
26,18.73076923076923
19,32.36842105263158
5,36.2
4,45.75
10,16.4
9,17.22222222222222
14,19.071428571428573
6,24.333333333333332
4,39.0
7,20.285714285714285
3,51.666666666666664
14,38.57142857142857
5,32.0
4,43.5
7,20.0
7,17.0
9,33.888888888888886
16,8.3125
3,45.666666666666664
4,44.75
4,43.5
3,59.333333333333336
9,22.555555555555557
9,9.0
7,19.142857142857142
18,42.44444444444444
28,19.107142857142858
29,22.103448275862068
4,44.75
44,20.113636363636363
12,15.75
13,20.615384615384617
17,14.764705882352942
6,32.166666666666664
3,50.0
6,29.5
9,23.22222222222222
6,23.833333333333332
10,32.4
7,26.571428571428573
3,54.0
11,17.545454545454547
3,57.666666666666664
6,30.833333333333332
11,29.545454545454547
4,44.75
10,19.6
3,56.0
5,33.6
4,42.5
11,23.727272727272727
4,44.5
3,36.333333333333336
6,31.5
3,53.0
5,52.8
9,13.555555555555555
5,39.0
4,44.75
