Poem,Author
"['Days run over me,', ' like clouds over the forest,', ' behind him', ' huddling flock whitish.', ' AND, frozen over a creek,', ' without myčanʹâ and bells,', ' lean shoulder', ' on the fence Squad.', 'Horizon on bugre', ' not utter a word about the flight.', ' And sometimes at dawn –', ' a scrap of yore.', ' presenting the transit,', ' Only yesterday evening', ' hastily slips', ' over skvoreshney, of arable land.']",Brodsky
"['\r\n                        TAKE, O take those lips away, ', '\xa0\xa0\xa0That so sweetly were forsworn; ', 'And those eyes, the break of day, ', '\xa0\xa0\xa0Lights that do mislead the morn! ', 'But my kisses bring again, ', '\xa0\xa0\xa0Bring again; ', ""Seals of love, but seal'd in vain, "", ""\xa0\xa0\xa0Seal'd in vain! \r\n                        "", '\n']",Shakespeare
"['In broad daylight begins to get dark headlong, and', ' cumulus coat tries to turn coat', ' with unearthly shoulder. Under the pressure of Acacia rain', ' It becomes too noisy.', ' not a needle, no thread, but something undeniably sewing,', ' Singer company almost with a touch of rusty watering can,', ' I heard this chatter; and geranium reveals neck', ' vertebrae seamstress.', 'As a family of rain rustling! how well mended', ' their holes in worn-out landscape, whether grazing', ' or mezhduderevye, surroundings, puddle - that they', ' view not allowed to fall', ' from space. Rain! myopia engine,', ' chronicler outside cells, greedy for food lean,', ' streak loam, exactly pen without manuscript,', ' klinopisyyu and ospoy.', 'Turn your back to the window and see a greatcoat with epaulets', ' brown on a hanger, fox on the back of the chair,', ' fringe yellow tablecloth, what, Dealing with the law', ' attraction, resurrected', ' and covered dining table, followed by three at dinner', ' we sit late at night, and you say drowsy,', ' my very, but a range of years of subdued', ' voice: ""Well, the rain"".']",Brodsky
"['She puts on stockings, and autumn comes;', ' solid nylon rain around.', ' And the more the asphalt beside himself with pockmarks,', ' the skirt long and pointed heel.', ' Now only two columns to turn white in underwear', ' uncomfortable. And naked portico overgrown. With any', ' points of view, less than one LORD', ' In summer, especially - in it with you.', ' Now if you hear a rustling, then - the sound of care', ' troops not care where, banners yap.', ' But, it is seen, joints of keys, that the waiting E flat,', ' distinguish themselves unable to, popping into cartilage.', ' And the window of noise bursts air from the sea', ' - out, where there is nothing at all.']",Brodsky
"['As prison bolt', ' allowed the ringing of the burden,', ' by Kalmyk mustache', ' smile on the past tense,', ' so in the dark of night,', ' exposing hope toothless,', ' after versta, after versta', ' retreat from the madness of love.', 'And gaping mouth', ' from ear to ear pushing unconsciousness,', ' as the tank bounty', ' temporal and spatial drunks,', ' that in a burning house', ' managing to tremble under the patch', ' and staring into the darkness,', ' seize mile dials, –', ' the pain of separation from you', ' supplants reality equal', ' not sad fate,', ' Simple and true Arhymedovoy.', 'Through the proud language,', ' bury the legality with diligence,', ' from heart musics', ' wade memory silence', ' in my last hearth', ' - the only weapon a tear, the only weapon twig Verbnaya, –', ' and you do not understand,', ' Yes, and I did not hear, probably,', ' whether indeed ringing silence,', ' as Styx Thole.', ' Whether the song is composed of violently', ' and learned posmertno.']",Brodsky
"['then us, of course, not flood,', ' but not drought. Most likely, climate in the kingdom', ' Justice will have the character of', ' moderate, four seasons,', ' To choleric, sanguine, phlegmatic and melancholic', ' ruled alternately: for three', ' months each. From the point of view of the encyclopedia,', ' it is - a lot. Though, undoubtedly,', ' Partly cloudy, vagaries of temperature', ' can confuse reformer. But the god of commerce', ' Only rejoice demand for wool', ' things, english umbrellas, of thick cloth coat.', ' His worst enemies - darned socks', ' and perelitsovannye jackets. It would seem that, rain window', ' encourages this approach to the landscape', ' and matter in general: as a more cost-effective.', ' That is why the constitution is not the word ""rain"".', ' It generally never says', ' none of the barometer, none of those, Who, stoop', ' after midnight on a stool, with a ball of Vigone,', ' both naked Alcibiades,', ' while away the hours, flipping through a fashion magazine pages', ' in the dressing room of the Golden Age.']",Brodsky
"['\r\n                        My love is strengthened, though more weak in seeming;', 'I love not less, though less the show appear;', 'That love is merchandized, whose rich esteeming', ""The owner's tongue doth publish everywhere."", 'Our love was new, and then but in the spring', 'When I was wont to greet it with my lays,', ""As Philomel in summer's front doth sing,"", 'And stops her pipe in growth of riper days—', 'Not that the summer is less pleasant now', 'Than when her mournful hymns did hush the night,', 'But that wild music burthens every bough,', 'And sweets grown common lose their dear delight.', '    Therefore like her I sometime hold my tongue,', '    Because I would not dull you with my song. \r\n                        ', '\n']",Shakespeare
"['Without condemning the late remorse', ' Without distorting the truth conditional', ' You reflect Cain and Abel', ' As if reflect clown mask.', ' As if we are the only guests later,', ' As if hastily fix our ties,', ' As if the same - churchyards', ' End we diversely-best', ' Unaware of his own fragility,', "" You'll be back to look at the smiles."", ' And to distinguish between the value of tinsel,', ' As for the shield deception tenderness ...', ' ABOUT, Feel after vanity integrity', ' And on a normal dial - eternity.']",Brodsky
"['I wander in the forest thinning.', ' chilly, greyness.', ' already in October. on the nose', ' Your holiday, Eros.', ' Again in your house cluttered Men', ' priests of art', ' ""Capital"" to eat and to check', ' the stability of feelings.', 'What is the scope for reproaches.', ' From the day of his arrest', ' pleasant feeling, that life', ' in the US - not the city.', ' to sip something away', ' for your joy,', ' but zero distance,', ' Alas, no degree.']",Brodsky
"['On Christmas all the little magicians.', ' In food and crush slush.', ' Due to banks coffee halvah', ' produces siege counter', ' a pile of bundles loaded with people:', ' each his own king and camel.', 'Grids, bags, shopping bags, ball,', ' hats, ties, whipped sideways.', ' The smell of vodka, needles and cod,', ' mandarinov, cinnamon and apples.', ' chaos lic, and do not see the trail', ' to Bethlehem because of snow pellets.', 'And hawkers modest gifts', ' Transport leap in, bursting in the door,', ' disappear failures yards,', ' even knowing, that empty cave:', ' no animals, nor creches, He us,', ' of which - gold halo.', 'Emptiness. But at the thought of her', ' suddenly see the light as if from nowhere.', ' I knew Herod, that he is stronger than,', ' the more likely, inevitable miracle.', ' The constancy of the relationship –', ' the main mechanism for Christmas.', 'Then celebrate now everywhere,', ' that his approach, shifting', ' all tables. Do not need a star', ' let another, but it was the will of the good', ' in the human visible from afar,', ' and bonfires lit the shepherds.', 'snowing; do not smoke, but the pipe', ' pipe roofs. All persons, like spots.', ' Herod five. The women hide the children.', ' Who is coming - it is not clear to anyone:', ' we do not know will, and heart', ' suddenly can not recognize a stranger.', 'But, when the door drafts', ' from the night of thick fog', ' figure arises in scarf,', ' and Baby, and the Holy Spirit', ' you feel in yourself without shame;', ' look at the sky and see - Star.']",Brodsky
